,Month Ending 09/30/2024 Actual,PPD,Month Ending 08/31/2024 Actual,PPD,Period Difference,Period Variance,Year To Date 09/30/2024 Actual,PPD,Year To Date 09/30/2023 Actual,PPD,Period Difference,Period Variance
Census,,,,,,,,,,,,
Census,2395,,2486,,-91,-0.0366,22501,,15390,,7111,0.462
Total Census,2395,,2486,,-91,-0.0366,22501,,15390,,7111,0.462
Revenue,357721.36,138.06,347655.41,129.67,10065.95,0.0289,3224978.52,134.08,2104044.8,0,1120933.72,0.5327000000000001
Nursing Expenses,121276.62,50.64,115451.27,46.44,5825.35,0.0504,1047661.87,46.56,881246.68,57.26,166415.19,0.1888
Dietery Expenses,55689.6,23.25,64110.41,25.79,-8420.81,-0.1313,492693.96,21.9,386450.08,25.11,106243.88,0.2749
Housekeeping and Laundry Expenses,12285.37,5.13,9527.54,3.83,2757.83,0.2894,99445.96,4.42,71864.22,4.67,27581.74,0.38380000000000003
Recreation Expenses,8907.13,3.7199999999999998,8694.29,3.5,212.84,0.024399999999999998,69169.98,3.07,90016.43,5.85,-20846.45,-0.23149999999999998
Marketing Expenses,10444.41,4.36,10343.16,4.16,101.25,0.0097,139126.5,6.18,180829.49,11.75,-41702.99,-0.2306
R&M Expenses,11675.39,4.87,13639.77,5.49,-1964.38,-0.14400000000000002,137818.36,6.12,96847.29,6.29,40971.07,0.423
Outside Ground Services,8724.95,3.64,6281.42,2.5300000000000002,2443.53,0.389,77054.5,3.42,45919.28,2.98,31135.22,0.6779999999999999
Utilities,8711.06,3.64,10877.82,4.38,-2166.76,-0.1991,77322.54,3.44,116017.96,7.54,-38695.42,-0.3335
Salaries Expense,8363.84,3.49,4562.42,1.8399999999999999,3801.42,0.8331999999999999,18959.5,0.84,35525.1,2.31,-16565.6,-0.46630000000000005
G&A Expenses,82998.78,34.66,83006.83,33.39,-8.05,0,599046.44,26.62,468244.02,30.43,130802.42,0.2793
Management Fee,21202.39,8.85,21646.3,8.71,-443.91,-0.020499999999999997,162884.99,7.24,105178.24,6.83,57706.75,0.5486
Real Estate Taxes,4078.78,1.7,4078.78,1.6400000000000001,0,0,60494.1,2.69,59360.78,3.86,1133.32,0.019
Operating Expenses,354358.32,147.96,352220.01,141.68,2138.31,0.006,2981678.7,132.51,2537499.57,164.88,444179.13,0.175
Operating Income,3363.04,1.4,-4564.6,-1.8399999999999999,7927.64,-1.7367,243299.82,10.81,-433454.77,-28.16,676754.59,-1.5613
Rent and Depreciation,56604.2,23.63,56472.43,22.72,131.77,0.0023,508418.66,22.6,498738.07,32.41,9680.59,0.0194
Other (Income)/Expenses,0,0,0,0,0,0,1278.32,0.06,-29344.07,-1.9100000000000001,30622.39,-1.0434999999999999
Net Income (Loss),-53241.16,-22.23,-61037.03,-24.55,7795.87,-0.1277,-266397.16,-11.84,-902848.77,-58.66,636451.61,-0.7049
EBITDAR,3363.04,1.4,-4564.6,-1.8399999999999999,7927.64,-1.7367,243299.82,10.81,-433454.77,-28.16,676754.59,-1.5613
