,Month Ending 09/30/2024 Actual,Month Ending 08/31/2024 Actual,Period Difference,Period Variance,Year To Date 09/30/2024 Actual,Year To Date 09/30/2023 Actual,Period Difference,Period Variance
Nursing Salaries,,,,,,,,
Resident Care Director,,,,,,,,
Resident Care Director Salary,4162.08,0,4162.08,1,6315.93,0,6315.93,1
Resident Care Director Payroll Taxes,456.98,0,456.98,1,689.93,0,689.93,1
Total Resident Care Director,4619.06,0,4619.06,1,7005.86,0,7005.86,1
Resident Care Associate,,,,,,,,
Resident Care Associate Salary,0,1997.04,-1997.04,-1,30052.5,347469.6,-317417.1,-0.9135
Resident Care Associate Payroll Taxes,0,227.81,-227.81,-1,3429.76,34742.09,-31312.33,-0.9012
Resident Care Associate Overtime,0,105.43,-105.43,-1,972,0,972,1
Total Resident Care Associate,0,2330.28,-2330.28,-1,34454.26,382211.69,-347757.43,-0.9098
Regional Director of Clinical Operations,,,,,,,,
Director of Clinical Operations Salary,7417.59,7664.84,-247.25,-0.0322,17802.21,0,17802.21,1
Director of Clinical Operations Payroll Taxes,555.99,575.66,-19.67,-0.0341,1339.72,0,1339.72,1
Total Regional Director of Clinical Operations,7973.58,8240.5,-266.92,-0.0323,19141.93,0,19141.93,1
LPN,,,,,,,,
LPN PD Salary,3333.32,0,3333.32,1,36623.68,16297.18,20326.5,1.2472
LPN PD Payroll Taxes,318.75,0,318.75,1,3103.26,1965.53,1137.73,0.5788
Total LPN,3652.07,0,3652.07,1,39726.94,18262.71,21464.23,1.1753
RN,,,,,,,,
RN,0,0,0,0,1038.46,26291.81,-25253.35,-0.9605
RN Payroll Taxes,0,0,0,0,118.12,2380.91,-2262.79,-0.9503
Total RN,0,0,0,0,1156.58,28672.72,-27516.14,-0.9595999999999999
Registered Med Aide,,,,,,,,
Registered Medication Aide Salary,31429.63,32664.05,-1234.42,-0.0377,299591.77,216676.2,82915.57,0.3826
Registered Med Aide Payroll Taxes,3192.73,3264.72,-71.99,-0.022000000000000002,29182.28,21342.07,7840.21,0.36729999999999996
Registered Med Aide Overtime,8705.13,8997.98,-292.85,-0.0325,50268.3,28848.34,21419.96,0.7425
Total Registered Med Aide,43327.49,44926.75,-1599.26,-0.0355,379042.35,266866.61,112175.74,0.4203
Aides,,,,,,,,
Aide Salary,46091.2,46877.11,-785.91,-0.0167,470430.62,132532.11,337898.51,2.5495
Aide Payroll Taxes,4867.2,4791.79,75.41,0.0157,48436.99,15048.84,33388.15,2.2186000000000003
Aide Overtime,10127.8,6837.34,3290.46,0.48119999999999996,41401.56,32648.83,8752.73,0.268
Total Aides,61086.2,58506.24,2579.96,0.044000000000000004,560269.17,180229.78,380039.39,2.1086
Total Nursing Salaries,120658.4,114003.77,6654.63,0.0583,1040797.09,876243.51,164553.58,0.1877
Dietary Salaries,,,,,,,,
Cook,,,,,,,,
